Unnamed: 0,smiles,Formula,Mol_wt
7889,[CH3+],CH3+,15.041
3,[CH3-],CH3-,15.041
1835,[11CH4],CH4,16.048
1,C,CH4,16.048
375,C,CH4,16.048
1764,[13CH4],CH4,16.048
848,[14CH4],CH4,16.048
28651,[13CH4],CH4,16.048
1898,C,CH4,16.048
28680,C,CH4,16.048
21779,[12CH4],CH4,16.048
3490,[15CH4],CH4,16.048
21463,[12CH4],CH4,16.048
28043,C,CH4,16.048
28038,[13CH4],CH4,16.048
2515,[C+]#[C-],C2,24.04
28901,[14CH]#[14CH],C2H2,26.054
4500,[11CH]#C,C2H2,26.054
20,C#C,C2H2,26.054
2218,C#C,C2H2,26.054
28105,[13CH]#[13CH],C2H2,26.054
25974,[12CH]#C,C2H2,26.054
12786,[12CH]#[12CH],C2H2,26.054
2136,C#C,C2H2,26.054
16307,[13CH]#[12CH],C2H2,26.054
12888,[13CH]#C,C2H2,26.054
12887,C#[13CH],C2H2,26.054
25703,[12CH]#C,C2H2,26.054
13009,[13CH]#[13CH],C2H2,26.054
1900,C=C,C2H4,28.067999999999998
2252,C=C,C2H4,28.067999999999998
2251,C=C,C2H4,28.067999999999998
2461,C=C,C2H4,28.067999999999998
22308,[13CH2]=[13CH2],C2H4,28.067999999999998
19,C=C,C2H4,28.067999999999998
13715,[13CH2]=[13CH2],C2H4,28.067999999999998
4504,[11CH2]=C,C2H4,28.067999999999998
8784,C[CH2+],C2H5+,29.075
8519,C[CH2-],C2H5-,29.075
2415,CC,C2H6,30.082
16679,[13CH3]C,C2H6,30.082
2205,CC,C2H6,30.082
2784,CC,C2H6,30.082
16678,[13CH3]C,C2H6,30.082
18,CC,C2H6,30.082
13840,CC,C2H6,30.082
2186,CC,C2H6,30.082
11274,C1=C=C1,C3H2,38.074000000000005
17318,C1=C=C1,C3H2,38.074000000000005
22029,C1=C=C1,C3H2,38.074000000000005
25352,CC#[C-],C3H3-,39.081
2438,CC#C,C3H4,40.088
22,CC#C,C3H4,40.088
13888,C=C=C,C3H4,40.088
22150,C=C=C,C3H4,40.088
14090,CC#C,C3H4,40.088
19757,C=C=C,C3H4,40.088
1909,C1C=C1,C3H4,40.088
2517,CC#C,C3H4,40.088
19328,C[13C]#C,C3H4,40.088
21612,C1CC1,C3H6,42.102000000000004
28478,C([CH2-])[CH2-],C3H6-2,42.102000000000004
28254,[13CH2]1CC1,C3H6,42.102000000000004
12035,C1C[13CH2]1,C3H6,42.102000000000004
20423,CC=C,C3H6,42.102000000000004
12034,C1C[13CH2]1,C3H6,42.102000000000004
23,C1CC1,C3H6,42.102000000000004
13211,[13CH3][13CH]=[12CH2],C3H6,42.102000000000004
2165,CC=C,C3H6,42.102000000000004
19686,CC=[13CH2],C3H6,42.102000000000004
20424,CC=C,C3H6,42.102000000000004
19688,CC=[13CH2],C3H6,42.102000000000004
19687,C1C[13CH2]1,C3H6,42.102000000000004
102,CC=C,C3H6,42.102000000000004
14412,[13CH3]C=C,C3H6,42.102000000000004
27973,[11CH3]C=C,C3H6,42.102000000000004
11283,[CH+](C)C,C3H7+,43.109
2268,C(C)C,C3H8,44.116
21,C(C)C,C3H8,44.116
14139,C(C)C,C3H8,44.116
2269,C(C)C,C3H8,44.116
11534,C(C)C,C3H8,44.116
14140,C(C)C,C3H8,44.116
26626,C(C)C,C3H8,44.116
14138,C(C)C,C3H8,44.116
11280,[13CH2](C)C,C3H8,44.116
13695,C(#[C-])C#[C-],C4-2,48.08
11266,C1=C=C=C=1,C4,48.08
14430,C(#C)C#[C-],C4H-,49.086999999999996
20769,C1C2=C=C12,C4H2,50.094
25601,[13C](#C)[13C]#C,C4H2,50.094
204,C(#C)C#C,C4H2,50.094
2607,C(#C)C#C,C4H2,50.094
12375,C1=CC=C1,C4H4,52.108
2147,C1=CC=C1,C4H4,52.108
12376,[13CH]1=CC=C1,C4H4,52.108
3064,C12=C(C1)C2,C4H4,52.108
2339,C1(=C)C=C1,C4H4,52.108
11572,[C@H]12[C@@H]3[C@H]1[C@H]23,C4H4,52.108
2267,C=C=C=C,C4H4,52.108
17230,C(=C)C#C,C4H4,52.108
376,C(=C)C#C,C4H4,52.108
24973,C(=C)C#C,C4H4,52.108
2752,C=C=C=C,C4H4,52.108
8651,[C-](=C)[C-]=C,C4H4-2,52.108
12377,[13CH]1=[13CH]C=C1,C4H4,52.108
8763,CC#C[CH2-],C4H5-,53.114999999999995
23630,C(=[13CH2])C=[13CH2],C4H6,54.122
7787,[C@@H]1(C=C1)C,C4H6,54.122
1951,[C@@H]12[C@@H](C1)C2,C4H6,54.122
18193,C1CC1=C,C4H6,54.122
5716,C(=C[CH2-])[CH2-],C4H6-2,54.122
2157,C(=C)C=C,C4H6,54.122
1498,C1CC1=C,C4H6,54.122
23633,C(=C)C=C,C4H6,54.122
1343,C1CC=C1,C4H6,54.122
81,C(C)C#C,C4H6,54.122
23632,C(=[13CH2])C=C,C4H6,54.122
80,C(=C)C=C,C4H6,54.122
229,CC#CC,C4H6,54.122
23631,[13CH](=C)[13CH]=C,C4H6,54.122
2510,C(=C)C=C,C4H6,54.122
4534,C(=C)C=C,C4H6,54.122
3351,C1C(=C1)C,C4H6,54.122
4568,C(=C)C=C,C4H6,54.122
23372,[C@@H]12[C@@H](C1)C2,C4H6,54.122
23373,[C@@H]12[C@@H](C1)C2,C4H6,54.122
14040,[13CH](=[13CH2])[13CH]=[13CH2],C4H6,54.122
10654,C(=C\[CH2-])/[CH2-],C4H6-2,54.122
288,CC=C=C,C4H6,54.122
9034,C(C=C)[CH2-],C4H7-,55.129
21577,C(C)C=C,C4H8,56.135999999999996
