smiles,serial No.
c1ccccc1,241
C,297
C(CCCC)CCC,356
[CH3-],881
c12c(cccc1)cccc2,931
c12c3c(ccc1cccc2)cccc3,995
C(CC=C(CCC=C(C)C)C)C(=CCCC=C(CCC=C(CCC=C(C)C)C)C)C,1105
c1(ccccc1)C,1140
c12c3c(CC1)c(ccc3cc1c2ccc2c1cccc2)C,1674
C1(CCCC(=C1C=CC(=CC=CC(=CC)C)C)C)(C)C,2093
[C@]12([C@@H](CCCC2=CC[C@H](C1)C(=C)C)C)C,2237
c12c3c4ccc1c1c(cc2ccc3ccc4)cccc1,2336
[C@@H]1(CCC(=CCCC(=CC1)C)C)C(=C)C,3470
C(c1cc2c(c(cc1)C)ccc2C)(C)C,3515
c12c(cc3c(c2)ccc2c3cccc2)ccc2c1cccc2,5889
c12c(cc3c(c2)cccc3)ccc2c1cccc2,5954
c12c(c(c3c(c1C)cccc3)C)ccc1c2cccc1,6001
C(=Cc1ccccc1)(c1ccccc1)c1ccccc1,6025
CC,6324
C=C,6325
C#C,6326
C(C)C,6334
CC#C,6335
C1CC1,6351
C(C)(C)C,6360
C(CC)(C)(C)C,6403
[C@H]12[C@H]([C@H]3C[C@@H]1C=C3)C=CC2,6492
C(CC)(C)C,6556
C(=C)(C)C=C,6557
C(C(C)C)(C)C,6589
[C@@H]12C(C(=C)[C@@H](C1)CC2)(C)C,6616
C1([C@@H]2C[C@H]1C(=CC2)C)(C)C,6654
C1(CCC(c2c1cc(cc2)CC)(C)C)(C)C,6663
c12c3CCc1cccc2ccc3,6734
c1(c(c2ccccc2)cccc1)c1ccccc1,6766
C1c2c(c3c1cccc3)cccc2,6853
C1([C@H]2[C@H](C1)C(=C)CCC=C(CC2)C)(C)C,6887
c1(c(c(c(c(c1C)C)C)C)C)C,6908
C12=C([C@H](CC2)C)CC(=C(C)C)CC[C@H]1C,6949
c12c(cccc1C)cccc2,7002
[C@H]12[C@@H](CCCC1)CCCC2,7044
c12c(ccc(c1)C)cccc2,7055
c1(cc(c2ccccc2)ccc1)c1ccccc1,7076
c12c(cc3c(c1)cccc3)cc1c(c2)cccc1,7080
C1(C2CCCCC2)CCCCC1,7094
c1(c2ccccc2)ccccc1,7095
c1(c2ccccc2)ccc(c2ccccc2)cc1,7115
c12CC=Cc1cccc2,7219
c1(c(cccc1)C)C,7237
c1(c(ccc(c1)C)C)C,7247
c1(c(cc(c(c1)C)C)C)C,7269
C(CC)(CC)C,7282
