sl.no,smiles_format,xyz_file,energy,Formula,Mol_wt
1,[CH],c7h6_aggregates_ag_a_001_b_001_006_selected_result_000_000_ag_a_001_b_001.xyz,0.0,CH,13.027
1,[CH2],c7h10_aggregates_ag_a_001_b_002_006_selected_result_011_000_ag_a_001_b_002.xyz,0.0,CH2,14.033999999999999
1,[CH3],c4h7_aggregates_ag_a_001_b_003_002_selected_result_021_000_ag_a_001_b_003.xyz,0.0,CH3,15.041
1,C,c4h5_aggregates_ag_a_001_b_004_004_selected_result_022_000_ag_a_001_b_004.xyz,0.0,CH4,16.048
1,[C]#C,c3h2_aggregates_ag_a_002_b_001_001_selected_result_008_000_ag_a_002_b_001.xyz,-76.464568,C2H,25.047
33,[C][CH],c10h2_aggregates_ag_a_002_b_001_009_selected_result_003_000_ag_a_002_b_001.xyz,-76.502623,C2H,25.047
1,C#C,c3h6_aggregates_ag_a_002_b_002_003_selected_result_016_000_ag_a_002_b_002.xyz,-77.221548,C2H2,26.054
2,[C]=C,c10h5_aggregates_ag_a_002_b_002_004_selected_result_008_001_ag_a_002_b_002.xyz,-77.152448,C2H2,26.054
15,[CH][CH],c7h8_aggregates_ag_a_002_b_002_003_selected_result_015_000_ag_a_002_b_002.xyz,-77.152449,C2H2,26.054
2,[CH]=C,c6h4_aggregates_ag_a_002_b_003_008_selected_result_001_000_ag_a_002_b_003.xyz,-77.713794,C2H3,27.061
1,[C]C,c6h5_aggregates_ag_a_002_b_003_004_selected_result_022_003_ag_a_002_b_003.xyz,-77.791861,C2H3,27.061
1,C=C,c5h9_aggregates_ag_a_002_b_004_004_selected_result_006_002_ag_a_002_b_004.xyz,-78.473535,C2H4,28.067999999999998
2,[CH]C,c2h4_aggregates_ag_a_002_b_004_000_selected_result_022_000_ag_a_002_b_004.xyz,-78.350953,C2H4,28.067999999999998
1,[CH2]C,c7h6_aggregates_ag_a_002_b_005_002_selected_result_006_000_ag_a_002_b_005.xyz,-79.039526,C2H5,29.075
1,CC,c9h10_aggregates_ag_a_002_b_006_008_selected_result_020_000_ag_a_002_b_006.xyz,-79.706601,C2H6,30.082
16,[C]C=[C],c8h6_aggregates_ag_a_003_b_001_004_selected_result_010_001_ag_a_003_b_001.xyz,-114.526738,C3H,37.067
17,[C]1[C][CH]1,c5h5_aggregates_ag_a_003_b_001_002_selected_result_029_001_ag_a_003_b_001.xyz,-114.526738,C3H,37.067
18,[C]C#C,c4h7_aggregates_ag_a_003_b_001_006_selected_result_006_000_ag_a_003_b_001.xyz,-114.522156,C3H,37.067
24,[C]=C[CH],c8h5_aggregates_ag_a_003_b_002_004_selected_result_011_002_ag_a_003_b_002.xyz,-115.157971,C3H2,38.074000000000005
26,[CH]C#C,c7h3_aggregates_ag_a_003_b_002_005_selected_result_020_001_ag_a_003_b_002.xyz,-115.157451,C3H2,38.074000000000005
23,[CH]=C=[CH],c4h2_aggregates_ag_a_003_b_002_003_selected_result_026_001_ag_a_003_b_002.xyz,-115.157972,C3H2,38.074000000000005
25,[C]C[C],c5h3_aggregates_ag_a_003_b_002_005_selected_result_004_002_ag_a_003_b_002.xyz,,C3H2,38.074000000000005
21,[C]1[C]C1,c9h3_aggregates_ag_a_003_b_002_000_selected_result_027_002_ag_a_003_b_002.xyz,,C3H2,38.074000000000005
20,[CH][C]=[CH],c3h2_aggregates_ag_a_003_b_002_003_selected_result_024_000_ag_a_003_b_002.xyz,-115.157947,C3H2,38.074000000000005
19,[C]1C=C1,c5h4_aggregates_ag_a_003_b_002_005_selected_result_031_000_ag_a_003_b_002.xyz,-115.196657,C3H2,38.074000000000005
22,[C]#C[CH2],c5h5_aggregates_ag_a_003_b_002_005_selected_result_017_000_ag_a_003_b_002.xyz,-115.173591,C3H2,38.074000000000005
27,[C]1[CH]C1,c4h4_aggregates_ag_a_003_b_003_006_selected_result_023_000_ag_a_003_b_003.xyz,-115.776718,C3H3,39.081
28,[C]#CC,c9h5_aggregates_ag_a_003_b_003_004_selected_result_028_000_ag_a_003_b_003.xyz,115.772032,C3H3,39.081
29,[CH]1C=C1,c8h8_aggregates_ag_a_003_b_003_003_selected_result_030_001_ag_a_003_b_003.xyz,-115.793651,C3H3,39.081
30,C#C[CH2],c5h8_aggregates_ag_a_003_b_003_004_selected_result_005_000_ag_a_003_b_003.xyz,-115.84282,C3H3,39.081
31,[CH]C=[CH],c6h4_aggregates_ag_a_003_b_003_000_selected_result_026_000_ag_a_003_b_003.xyz,-115.721309,C3H3,39.081
32,[C]=C[CH2],c8h8_aggregates_ag_a_003_b_003_000_selected_result_001_000_ag_a_003_b_003.xyz,,C3H3,39.081
38,[C]1CC1,c3h4_aggregates_ag_a_003_b_004_000_selected_result_019_001_ag_a_003_b_004.xyz,-116.383617,C3H4,40.088
37,C=C=C,c4h5_aggregates_ag_a_003_b_004_000_selected_result_014_004_ag_a_003_b_004.xyz,-116.493851,C3H4,40.088
36,[CH][CH][CH2],c9h9_aggregates_ag_a_003_b_004_005_selected_result_002_000_ag_a_003_b_004.xyz,-116.392705,C3H4,40.088
34,C1=CC1,c5h5_aggregates_ag_a_003_b_004_000_selected_result_019_001_ag_a_003_b_004.xyz,-116.457018,C3H4,40.088
133,C#CC,c4h9_aggregates_ag_a_003_b_004_009_selected_result_021_001_ag_a_003_b_004.xyz,116.490612,C3H4,40.088
35,[C]=CC,c4h5_aggregates_ag_a_003_b_004_000_selected_result_019_003_ag_a_003_b_004.xyz,-116.490613,C3H4,40.088
39,C=[C]C,c5h8_aggregates_ag_a_003_b_005_001_selected_result_028_000_ag_a_003_b_005.xyz,,C3H5,41.095
