sl.no,smiles_format,xyz_file,energy
1,[CH],c7h6_aggregates_ag_a_001_b_001_006_selected_result_000_000_ag_a_001_b_001.xyz,NULL
2,[CH2],c7h10_aggregates_ag_a_001_b_002_006_selected_result_011_000_ag_a_001_b_002.xyz,NULL
3,[CH3],c4h7_aggregates_ag_a_001_b_003_002_selected_result_021_000_ag_a_001_b_003.xyz,NULL
4,C,c4h5_aggregates_ag_a_001_b_004_004_selected_result_022_000_ag_a_001_b_004.xyz,NULL
5,[C]#C,c3h2_aggregates_ag_a_002_b_001_001_selected_result_008_000_ag_a_002_b_001.xyz,-76.464568
6,[C][CH],c10h2_aggregates_ag_a_002_b_001_009_selected_result_003_000_ag_a_002_b_001.xyz,-76.502623
7,C#C,c3h6_aggregates_ag_a_002_b_002_003_selected_result_016_000_ag_a_002_b_002.xyz,-77.221548
8,[C]=C,c10h5_aggregates_ag_a_002_b_002_004_selected_result_008_001_ag_a_002_b_002.xyz,-77.152448
9,[CH][CH],c7h8_aggregates_ag_a_002_b_002_003_selected_result_015_000_ag_a_002_b_002.xyz,-77.152449
10,[C]C,c6h5_aggregates_ag_a_002_b_003_004_selected_result_022_003_ag_a_002_b_003.xyz,-77.791861
11,[CH]=C,c6h4_aggregates_ag_a_002_b_003_008_selected_result_001_000_ag_a_002_b_003.xyz,-77.713794
12,C=C,c5h9_aggregates_ag_a_002_b_004_004_selected_result_006_002_ag_a_002_b_004.xyz,-78.473535
13,[CH]C,c2h4_aggregates_ag_a_002_b_004_000_selected_result_022_000_ag_a_002_b_004.xyz,-78.350953
14,[CH2]C,c7h6_aggregates_ag_a_002_b_005_002_selected_result_006_000_ag_a_002_b_005.xyz,-79.039526
15,CC,c9h10_aggregates_ag_a_002_b_006_008_selected_result_020_000_ag_a_002_b_006.xyz,-79.706601
16,[C]C=[C],c8h6_aggregates_ag_a_003_b_001_004_selected_result_010_001_ag_a_003_b_001.xyz,-114.526738
17,[C]1[C][CH]1,c5h5_aggregates_ag_a_003_b_001_002_selected_result_029_001_ag_a_003_b_001.xyz,-114.526738
18,[C]C#C,c4h7_aggregates_ag_a_003_b_001_006_selected_result_006_000_ag_a_003_b_001.xyz,-114.522156
19,[C]1C=C1,c5h4_aggregates_ag_a_003_b_002_005_selected_result_031_000_ag_a_003_b_002.xyz,-115.196657
20,[CH][C]=[CH],c3h2_aggregates_ag_a_003_b_002_003_selected_result_024_000_ag_a_003_b_002.xyz,-115.157947
21,[C]1[C]C1,c9h3_aggregates_ag_a_003_b_002_000_selected_result_027_002_ag_a_003_b_002.xyz,NULL
22,[C]#C[CH2],c5h5_aggregates_ag_a_003_b_002_005_selected_result_017_000_ag_a_003_b_002.xyz,-115.173591
23,[CH]=C=[CH],c4h2_aggregates_ag_a_003_b_002_003_selected_result_026_001_ag_a_003_b_002.xyz,-115.157972
24,[C]=C[CH],c8h5_aggregates_ag_a_003_b_002_004_selected_result_011_002_ag_a_003_b_002.xyz,-115.157971
25,[C]C[C],c5h3_aggregates_ag_a_003_b_002_005_selected_result_004_002_ag_a_003_b_002.xyz,NULL
26,[CH]C#C,c7h3_aggregates_ag_a_003_b_002_005_selected_result_020_001_ag_a_003_b_002.xyz,-115.157451
27,[C]1[CH]C1,c4h4_aggregates_ag_a_003_b_003_006_selected_result_023_000_ag_a_003_b_003.xyz,-115.776718
28,[C]#CC,c9h5_aggregates_ag_a_003_b_003_004_selected_result_028_000_ag_a_003_b_003.xyz,115.772032
29,[CH]1C=C1,c8h8_aggregates_ag_a_003_b_003_003_selected_result_030_001_ag_a_003_b_003.xyz,-115.793651
30,C#C[CH2],c5h8_aggregates_ag_a_003_b_003_004_selected_result_005_000_ag_a_003_b_003.xyz,-115.842820
31,[CH]C=[CH],c6h4_aggregates_ag_a_003_b_003_000_selected_result_026_000_ag_a_003_b_003.xyz,-115.721309
32,[C]=C[CH2],c8h8_aggregates_ag_a_003_b_003_000_selected_result_001_000_ag_a_003_b_003.xyz,NULL
33,C#CC,c4h9_aggregates_ag_a_003_b_004_009_selected_result_021_001_ag_a_003_b_004.xyz,116.490612
34,C1=CC1,c5h5_aggregates_ag_a_003_b_004_000_selected_result_019_001_ag_a_003_b_004.xyz,-116.457018
35,[C]=CC,c4h5_aggregates_ag_a_003_b_004_000_selected_result_019_003_ag_a_003_b_004.xyz,-116.490613
36,[CH][CH][CH2],c9h9_aggregates_ag_a_003_b_004_005_selected_result_002_000_ag_a_003_b_004.xyz,-116.392705
37,C=C=C,c4h5_aggregates_ag_a_003_b_004_000_selected_result_014_004_ag_a_003_b_004.xyz,-116.493851
38,[C]1CC1,c3h4_aggregates_ag_a_003_b_004_000_selected_result_019_001_ag_a_003_b_004.xyz,-116.383617
39,C=[C]C,c5h8_aggregates_ag_a_003_b_005_001_selected_result_028_000_ag_a_003_b_005.xyz,-117.060893
40,[CH2]C=C,c4h10_aggregates_ag_a_003_b_005_003_selected_result_015_002_ag_a_003_b_005.xyz,-117.093585
41,[CH]=CC,c3h5_aggregates_ag_a_003_b_005_004_selected_result_023_003_ag_a_003_b_005.xyz,-117.052694
42,[CH]1CC1,c5h8_aggregates_ag_a_003_b_005_007_selected_result_023_000_ag_a_003_b_005.xyz,-117.047014
43,[C]CC,c7h8_aggregates_ag_a_003_b_005_008_selected_result_009_000_ag_a_003_b_005.xyz,-116.971527
44,C1CC1,c3h10_aggregates_ag_a_003_b_006_001_selected_result_005_005_ag_a_003_b_006.xyz,-117.723847
45,C=CC,c8h7_aggregates_ag_a_003_b_006_002_selected_result_026_001_ag_a_003_b_006.xyz,-117.735855
46,[CH]CC,c4h8_aggregates_ag_a_003_b_006_005_selected_result_019_001_ag_a_003_b_006.xyz,-117.735859
47,[CH2]C[CH2],c3h6_aggregates_ag_a_003_b_006_005_selected_result_005_000_ag_a_003_b_006.xyz,-117.735855
48,C[C]C,c3h8_aggregates_ag_a_003_b_006_006_selected_result_013_000_ag_a_003_b_006.xyz,-117.625961
49,C[CH]C,c3h9_aggregates_ag_a_003_b_007_008_selected_result_003_000_ag_a_003_b_007.xyz,-118.302383
50,[CH2]CC,c4h7_aggregates_ag_a_003_b_007_004_selected_result_016_000_ag_a_003_b_007.xyz,-118.295551
